FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
1.00E-04,0.17277,951.5900002,1.860000001,1265,7.475525898,3.070000001,1170,6.675704501,1383.4,6.239999998,587.6400003,0.41,25.05999999,1.00E-04,1.00E-04
0.10614,0.36887,5587.770001,1.860000001,1265,7.475525898,3.570000001,1344,5.836809599,1928.84,5.23,492.0299999,0.37,44.08999998,0.07,0.000204082
0.12159,0.38727,5704.729998,1.860000001,1265,7.475525898,2.000000001,1525,5.3280978,2031.869999,5.210000001,493.4,0.39,44.64999999,0.02,0.000169492
0.235104,0.47232,6672.529998,1.860000001,1265,7.475525898,2.000000001,1451,6.376057101,1975.03,5.35,490.3699999,0.39,46.57,0.14,0.000175439
0.078679,0.25018,1440.47,4.700000001,1262,9.949107205,1.860000001,1265,7.475525898,2198.609999,5.840000001,514.5199999,0.36,39.48000002,0.08,0.000181818
1.00E-04,0.12679,1300.55,1.860000001,1265,7.475525898,8.000000003,1269.999999,7.547134902,1844.929999,5.519999998,557.0400002,0.47,36.63000001,1.00E-04,0.000119048
0.108957,0.42306,5655.4,1.860000001,1265,7.475525898,3.000000001,1329,8.945763596,1874.47,5.01,511.0599999,0.42,52.28999999,0.05,0.000136986
0.115275,0.27074,1739.689999,2.000000001,1210,6.526194999,1.860000001,1265,7.475525898,2207.44,4.969999999,539.5400002,0.43,53.81000003,0.18,0.000322581
0.188489,0.31012,2239.81,3.890000001,1548,9.763032001,1.860000001,1265,7.475525898,2116.899999,5.770000003,516.4899999,0.34,36.94000001,0.04,1.923076922
0.180876,0.44554,5312.310001,1.860000001,1265,7.475525898,4.999999998,1315.000001,11.247303,1887.93,5.849999999,496.6100001,0.42,36.47000001,0.03,0.000204082
0.20859,0.30683,2857.310001,12.69999999,1285,12.42983821,1.860000001,1265,7.475525898,2232.78,5.719999998,518.8300002,0.38,44.43,0.03,2.222222222
0.313686,0.38631,2964.6,0.25,1606.000001,7.547778601,1.860000001,1265,7.475525898,2251.439999,5.36,505.06,0.36,36.93000001,0.07,0.00025641
0.356876,0.56161,7087.660002,1.860000001,1265,7.475525898,3.350000001,1352.000001,7.438544299,2003.599999,5.840000001,500.8400001,0.39,40.55000002,0.03,0.0002
0.219117,0.26875,2423.520001,16.97,1305,12.3458347,1.860000001,1265,7.475525898,1885.09,5.559999999,527.6699998,0.44,53.83000002,0.09,0.000172414
0.201681,0.44099,6833.719998,1.860000001,1265,7.475525898,22.85999999,1303.999999,8.041725198,1804.780001,6.019999998,496.4899999,0.39,45.35000002,0.05,0.00025641
1.00E-04,0.19779,1652.37,1.860000001,1265,7.475525898,24.29999999,1316,12.25486279,1782.16,5.640000003,544.4800001,0.45,34.12000001,1.00E-04,0.000117647
0.100219,0.43333,5811.610001,1.860000001,1265,7.475525898,4.020000001,1286,5.945085001,2016.65,5.270000002,493.2100001,0.39,44.91,0.05,0.000166667
0.0392,0.48304,3387.399998,1.860000001,1265,7.475525898,5.999999999,1310,9.210340498,1970.299999,5.760000002,511.5199998,0.43,40.88999998,0.06,0.000178571
